"Demog" "lCI" "Median" "uCI"
"1973" "Nt" "292" "317" "344"
"1974" "Nt" "219" "242" "267"
"1975" "Nt" "225" "247" "274"
"1976" "Nt" "164.975" "181" "201"
"1977" "Nt" "214" "237" "261.025"
"1978" "Nt" "128" "146" "164"
"1979" "Nt" "107" "120" "136"
"1980" "Nt" "199" "220" "244.025"
"1981" "Nt" "188" "208" "229"
"1982" "Nt" "157" "177" "195.025"
"1983" "Nt" "159" "178" "198.025"
"1984" "Nt" "176.975" "197" "219"
"1985" "Nt" "75" "88" "103"
"1986" "Nt" "99" "114" "131"
"1987" "Nt" "139" "155" "173"
"1988" "Nt" "214" "233" "256"
"1989" "Nt" "111" "125" "141"
"1990" "Nt" "120" "135" "152"
"1991" "Nt" "195" "215" "237"
"1992" "Nt" "150.975" "169" "189"
"1993" "Nt" "153" "172" "191"
"1994" "Nt" "126" "142" "158"
"1995" "Nt" "107.975" "121" "137"
"1996" "Nt" "169" "187" "208"
"1997" "Nt" "120" "137" "155"
"1998" "Nt" "124" "139" "156"
"1999" "Nt" "145" "164" "184"
"2000" "Nt" "98" "113" "128"
"2001" "Nt" "162" "181" "200"
"2002" "Nt" "115" "130" "146"
"2003" "Nt" "187" "206" "228"
"2004" "Nt" "99" "112" "126"
"2005" "Nt" "171" "192" "216"
"2006" "Nt" "101" "115" "131"
"2007" "Nt" "153" "171" "192"
"2008" "Nt" "198" "218" "240"
"2009" "Nt" "131" "147" "165"
"2010" "Nt" "143" "160" "179"
"2011" "Nt" "160" "175" "193"
"2012" "Nt" "234" "256" "282"
"2013" "Nt" "122" "138" "155"
"2014" "Nt" "141" "157" "177"
"2015" "Nt" "158" "176" "194"
"2016" "Nt" "149" "165" "184"
"2017" "Nt" "178" "200" "222"
"2018" "Nt" "152" "168" "189"
"2019" "Nt" "208" "233" "256"
"2020" "Nt" "204.975" "232" "260"
"1973" "N1" "104" "123" "140"
"1974" "N1" "66" "86" "111.025"
"1975" "N1" "109" "129" "151"
"1976" "N1" "42" "55" "71"
"1977" "N1" "107" "127" "147"
"1978" "N1" "59" "74" "95"
"1979" "N1" "42" "53" "67"
"1980" "N1" "118" "140" "165"
"1981" "N1" "81" "98" "115.025"
"1982" "N1" "54" "66" "82"
"1983" "N1" "70" "86" "105"
"1984" "N1" "89.975" "107" "124"
"1985" "N1" "23" "31" "42"
"1986" "N1" "62" "74" "89"
"1987" "N1" "79" "96" "113"
"1988" "N1" "109.975" "129" "149"
"1989" "N1" "19" "27" "37"
"1990" "N1" "56" "68" "84"
"1991" "N1" "114" "132" "151.025"
"1992" "N1" "48" "61" "79"
"1993" "N1" "76" "93" "110"
"1994" "N1" "57" "66" "79"
"1995" "N1" "52" "62" "75"
"1996" "N1" "94" "111" "131"
"1997" "N1" "54" "67" "84"
"1998" "N1" "57" "69" "84"
"1999" "N1" "59" "75" "94"
"2000" "N1" "31" "43" "57"
"2001" "N1" "91" "108" "129"
"2002" "N1" "42" "52" "64"
"2003" "N1" "104" "123" "143"
"2004" "N1" "47" "57" "70"
"2005" "N1" "101" "122" "145"
"2006" "N1" "35" "49" "67"
"2007" "N1" "78" "95" "116.025"
"2008" "N1" "76" "96" "127.025"
"2009" "N1" "56" "71" "90"
"2010" "N1" "66" "81" "98"
"2011" "N1" "80" "92" "108"
"2012" "N1" "125" "146" "173"
"2013" "N1" "38" "50" "66"
"2014" "N1" "60" "75" "95"
"2015" "N1" "58" "75" "94"
"2016" "N1" "45" "61" "79"
"2017" "N1" "61" "83" "104"
"2018" "N1" "51.975" "69" "87"
"2019" "N1" "96" "117" "141"
"2020" "N1" "49" "76" "108"
"1973" "N2" "79" "97" "115"
"1974" "N2" "45" "61" "79"
"1975" "N2" "33" "47" "64"
"1976" "N2" "52" "67" "85"
"1977" "N2" "26" "36" "50"
"1978" "N2" "23" "36" "50"
"1979" "N2" "24" "35" "48"
"1980" "N2" "25" "37" "49"
"1981" "N2" "55" "72" "89"
"1982" "N2" "38" "52" "66"
"1983" "N2" "24" "35" "48"
"1984" "N2" "35" "49" "66"
"1985" "N2" "20" "31" "43"
"1986" "N2" "8" "15" "23"
"1987" "N2" "29" "40" "52"
"1988" "N2" "52" "66" "82.0249999999999"
"1989" "N2" "39" "53" "67"
"1990" "N2" "8" "14" "22"
"1991" "N2" "35" "47" "61"
"1992" "N2" "53" "68" "85"
"1993" "N2" "21" "32" "45"
"1994" "N2" "30" "43" "57"
"1995" "N2" "20" "29" "40"
"1996" "N2" "29" "41" "53"
"1997" "N2" "29" "41" "55.0249999999999"
"1998" "N2" "22" "35" "49.0249999999999"
"1999" "N2" "33" "45" "60"
"2000" "N2" "23" "34" "47"
"2001" "N2" "17" "28" "41"
"2002" "N2" "34" "46" "60"
"2003" "N2" "25" "36" "48"
"2004" "N2" "20" "31" "44"
"2005" "N2" "23" "35" "49"
"2006" "N2" "23" "37" "56"
"2007" "N2" "18" "32" "48"
"2008" "N2" "42" "62" "89"
"2009" "N2" "19" "33" "50.0249999999999"
"2010" "N2" "27" "39" "53"
"2011" "N2" "30" "42" "56"
"2012" "N2" "44" "60" "76"
"2013" "N2" "32" "47" "63"
"2014" "N2" "21" "32" "45.0249999999999"
"2015" "N2" "36" "50" "65"
"2016" "N2" "33" "46" "63"
"2017" "N2" "31" "46" "62"
"2018" "N2" "30" "45" "61"
"2019" "N2" "33" "49" "68"
"2020" "N2" "59" "81" "107"
"1973" "N3" "66" "85" "105"
"1974" "N3" "35" "51" "68"
